seq rt,random rt,,,,,
1.122459,0.2800948,,,,,
1.1695593,1.5395301,,,,,
1.3296675,0.650681,,,,,
0.8837098,0.6241656,,,,,
0.9922562,0.3513588,,,,,
0.8495452,0.679886,,,,,
0.952034,0.3851033,,,,,
0.5343445,0.4015133,,,,,
0.8273071,0.555177,,,,,
1.1267576,0.4077623,,,,,
0.8395184,0.6213898,,,,,
0.5574276,0.5462087,,,,,
1.8478903,0.499322,,,,,
0.8799376,0.3017379,,,,,
0.8081109,0.495458,,,,,
0.845258,0.5466146,,,,,
0.7868846,0.4813926,,,,,
0.732933,0.5398091,,,,,
0.6966211,0.6167935,,,,,
0.9157443,0.6770968,,,,,
0.6113806,0.4559014,,,,,
0.727407,0.5638303,,,,,
0.8418479,0.5328686,,,,,
0.5733594,0.4762345,,,,,
0.4302225,0.4986082,,,,,
0.5986653,0.4720441,,,,,
0.5942371,0.3216699,,,,,
0.4958755,0.4598449,,,,,
0.3581601,0.509604,,,,,
0.5764572,0.5242099,,,,,
0.6178171,0.3494964,,,,,
0.455918,0.4585986,,,,,
0.3216833,0.4981617,,,,Sequence condition,387.5226291
0.5631483,0.3872445,,,,Random condition,525.1632833
0.4316585,0.5462849,,,,,
0.4784798,0.4355451,,,,diff,137.6406542
0.2949194,0.4331164,,,,,
0.3301724,0.5756143,,,sequential,max,1847.8903
0.2584108,0.4289038,,,,min,2.5266
0.2331164,0.4545126,,,,,
0.242659,0.5026875,,,random,max,1539.5301
0.3247973,0.7831711,,,,min,280.0948
0.2496242,0.3845334,,,,,
0.3191255,0.5126858,,,,,
0.2850702,0.3688122,,,,,
0.3237085,0.36016,,,,,
0.363536,0.5095772,,,,,
0.2233152,0.4166052,,,,,
0.2638476,0.4971426,,,,,
0.228978,0.5218264,,,,,
0.2953408,0.5245316,,,,,
0.1297891,0.3349381,,,,,
0.3017158,0.464396,,,,,
0.3880926,0.2990691,,,,,
0.1094241,0.808287,,,,,
0.2854089,0.3164954,,,,,
0.4322776,0.38525,,,,,
0.2921525,0.5616224,,,,,
0.3056483,0.3355658,,,,,
0.2875854,0.436299,,,,,
0.3288869,0.3921713,,,,,
0.2904409,0.3812187,,,,,
0.3337353,0.5121641,,,,,
0.27871,0.5288145,,,,,
0.3502963,0.3950861,,,,,
0.2952625,0.6202404,,,,,
0.2803432,0.4499832,,,,,
0.2117188,0.3842187,,,,,
0.3138746,0.285269,,,,,
0.2701089,0.583758,,,,,
0.3201766,0.5552082,,,,,
0.2857725,0.4597072,,,,,
0.3109581,0.5001558,,,,,
0.3100783,0.474305,,,,,
0.2964932,0.6158388,,,,,
0.0914872,0.4851859,,,,,
0.332449,0.4240229,,,,,
0.3490695,0.449819,,,,,
0.2936655,0.5263577,,,,,
0.2672265,0.4642574,,,,,
0.3114756,0.493804,,,,,
0.2100325,0.349872,,,,,
0.2820676,0.6889875,,,,,
0.3215871,0.4611606,,,,,
0.3067418,0.3685084,,,,,
0.3947561,0.5611152,,,,,
0.2754399,0.3635836,,,,,
0.3408258,0.4888044,,,,,
0.3167428,0.4383012,,,,,
0.3841377,0.5916272,,,,,
0.2518127,0.6106954,,,,,
0.2525301,0.512918,,,,,
0.254,0.5611866,,,,,
0.2693567,0.6662379,,,,,
0.0289843,0.6689594,,,,,
0.0025266,0.5895293,,,,,
0.0921316,0.5143063,,,,,
0.4743928,0.6012547,,,,,
0.2724659,0.4339542,,,,,
0.0530898,0.7328774,,,,,
0.0442054,0.5403591,,,,,
0.5598796,0.8482462,,,,,
0.5035126,0.5492661,,,,,
0.3017639,0.8967137,,,,,
0.2927178,0.7245337,,,,,
0.2719343,0.5388746,,,,,
0.1085507,0.7295594,,,,,
0.0801704,0.4255124,,,,,
0.0462825,0.5137978,,,,,
0.1908433,0.5277683,,,,,
0.1605673,0.5547959,,,,,
0.3809087,0.5414275,,,,,
0.2855625,0.3956301,,,,,
0.3272623,0.4798008,,,,,
0.2359887,0.5239247,,,,,
0.3680132,0.5695133,,,,,
0.334537,0.4381895,,,,,
0.1568733,0.5121817,,,,,
0.4067788,0.5216223,,,,,
0.2994123,0.4060668,,,,,
0.3304728,0.4687276,,,,,
0.3341797,0.4721212,,,,,
0.5440435,0.6146915,,,,,
0.379904,0.6267051,,,,,
0.6594762,0.4648762,,,,,
0.3657936,0.498795,,,,,
0.3651921,0.5527095,,,,,
0.0887337,0.4452006,,,,,
0.3106904,0.6659666,,,,,
0.4282969,0.5681218,,,,,
0.3164749,0.5330544,,,,,
0.3423108,0.5317321,,,,,
0.3049293,0.4160069,,,,,
0.4145622,0.5726976,,,,,
0.3169102,0.5304807,,,,,
0.5129603,0.3136741,,,,,
0.3126849,0.3587453,,,,,
0.3118983,0.5292657,,,,,
0.561761,0.8332929,,,,,
0.3831513,0.5802429,,,,,
0.3588999,0.7409222,,,,,
0.2949791,0.6000423,,,,,
0.3120388,0.4594365,,,,,
0.3549897,0.6874555,,,,,
0.7414546,0.5440836,,,,,
0.3499105,0.6605693,,,,,
0.3435103,0.6778012,,,,,
0.577291,0.6596207,,,,,
0.3620404,0.5718178,,,,,
0.2489433,0.4432784,,,,,
0.3031673,0.4887682,,,,,
0.5899643,0.683417,,,,,
0.3464773,0.4360029,,,,,
0.2471881,0.5199275,,,,,
0.3237139,0.4921317,,,,,
0.3966465,0.5754442,,,,,
0.3565883,0.5583648,,,,,
0.3394147,0.5717698,,,,,
0.3156137,0.4241125,,,,,
0.6432888,0.4486655,,,,,
0.3094724,0.5008732,,,,,
0.3082145,0.5388212,,,,,
0.3361613,0.5547375,,,,,
0.2986183,0.5126164,,,,,
0.2911701,0.4498993,,,,,
0.0477304,0.5111193,,,,,
0.4563061,0.4662916,,,,,
0.2450561,0.5006718,,,,,
0.0164051,0.4895422,,,,,
0.4217739,0.9324093,,,,,
0.2854097,0.5093407,,,,,
0.2284686,0.7354876,,,,,
0.9840646,0.4089706,,,,,
0.2967552,0.6496974,,,,,
0.1907059,0.6425792,,,,,
0.0866592,0.5975717,,,,,
0.0967427,0.5708349,,,,,
0.2488812,0.4177161,,,,,
0.1743544,0.4467833,,,,,
0.2955953,0.3477083,,,,,
0.1670781,0.6509587,,,,,
0.3197969,0.6437474,,,,,
0.3720829,0.4352108,,,,,
0.3011812,0.5711573,,,,,
0.7808547,0.8017323,,,,,
0.4690036,0.4555627,,,,,
0.2680927,0.5986393,,,,,
0.297005,0.3374542,,,,,
0.2991999,0.6320973,,,,,
0.2998123,0.4082718,,,,,
0.4332918,0.5111121,,,,,
0.3202872,0.3910934,,,,,
0.04368,0.3673023,,,,,
0.1215771,0.8328413,,,,,
0.0348587,0.5424581,,,,,
0.2760679,0.5100009,,,,,
0.3946127,0.8519606,,,,,
0.2528174,0.5060245,,,,,
0.2519965,,,,,,
